ST;y;x;ring;range;linear _distance;ang_geo;ang_cart;ang_cart(rad);2d-act;3d-act;4d-act;5d-act;6d-act;11d-act;2d-pos;3d-pos;4d-pos;5d-pos;6d-pos;11d-pos
1;45.305.944;12.030.310;A;0-50;0;NA;NA;NA;0;1;1;1;1;1;0;1;1;1;1;1
2;45.305.610;12.031.084;B;50-100;71;119;331;5.77;1;1;1;1;1;1;1;1;1;1;1;1
3;45.304.808;12.030.370;C;100-150;127;176;274;4.78;1;1;1;1;1;1;0;1;1;1;1;1
4;45.304.209;12.031.634;E;200-250;219;149;301;5.25;1;1;1;1;1;1;1;1;1;1;1;1
5;45.305.872;12.029.238;B;50-100;84;261;189;3.29;1;1;1;1;1;1;1;1;1;0;1;1
6;45.304.535;12.028.211;E;200-250;227;224;226;3.95;1;1;1;1;1;1;1;1;1;1;1;1
7;45.304.215;12.030.058;D;150-200;193;184;266;4.65;1;1;1;1;1;1;1;0;1;1;1;1
8;45.304.234;12.029.161;E;200-250;211;203;247;4.31;1;1;1;1;1;1;1;1;1;1;1;1
9;45.305.088;12.032.860;E;200-250;221;113;337;5.88;1;1;1;1;1;1;1;1;1;1;1;1
10;45.305.916;12.032.516;D;150-200;173;89;1;0.02;1;1;1;1;1;1;1;1;1;1;1;1
11;45.305.767;12.033.900;F;250-300;282;92;358;6.25;1;1;1;1;1;1;1;1;1;1;1;1
12;45.303.796;12.032.423;F;250-300;291;143;307;5.36;1;1;1;1;1;1;1;1;1;1;1;1
13;45.303.834;12.033.214;G;300-350;327;134;316;5.52;1;1;1;1;1;1;1;0;1;1;1;1
14;45.304.749;12.034.710;H;350-400;369;109;341;5.95;1;1;1;1;1;1;1;1;1;1;1;1
15;45.304.063;12.034.969;I;400-450;421;118;332;5.8;1;1;1;1;1;1;1;1;1;0;1;1
16;45.306.783;12.029.293;C;100-150;123;318;132;2.31;1;1;1;1;1;1;1;1;0;1;1;1
17;45.308.501;12.030.784;F;250-300;287;5;85;1.48;1;1;1;1;1;1;1;1;1;1;1;1
18;45.306.397;12.027.919;D;150-200;194;283;167;2.92;1;1;1;1;1;1;0;1;1;1;1;1
19;45.304.589;12.025.768;H;350-400;386;245;205;3.58;1;1;1;1;1;1;1;1;1;1;1;1
20;45.306.919;12.030.776;C;100-150;115;17;73;1.28;1;1;1;1;1;1;1;1;1;1;1;1
21;45.306.622;12.033.189;E;200-250;238;70;20;0.35;1;1;1;1;1;1;1;1;1;1;1;1
