date;day_after_release;ST;ring;range;linear _distance;ang_geo;ang_cart;marked/unmarked;sex;note
27/08/2009;3;1;A;0-50;0;NA;NA;1;F;
27/08/2009;3;1;A;0-50;0;NA;NA;1;F;
27/08/2009;3;1;A;0-50;0;NA;NA;1;F;
27/08/2009;3;1;A;0-50;0;NA;NA;1;F;
27/08/2009;3;1;A;0-50;0;NA;NA;1;F;
27/08/2009;3;1;A;0-50;0;NA;NA;1;F;
27/08/2009;3;1;A;0-50;0;NA;NA;1;F;
27/08/2009;3;1;A;0-50;0;NA;NA;1;F;
27/08/2009;3;1;A;0-50;0;NA;NA;1;F;
27/08/2009;3;1;A;0-50;0;NA;NA;1;F;
27/08/2009;3;1;A;0-50;0;NA;NA;1;F;
27/08/2009;3;1;A;0-50;0;NA;NA;1;F;
27/08/2009;3;1;A;0-50;0;NA;NA;1;F;
27/08/2009;3;1;A;0-50;0;NA;NA;1;F;
27/08/2009;3;1;A;0-50;0;NA;NA;1;F;
27/08/2009;3;1;A;0-50;0;NA;NA;1;F;
27/08/2009;3;1;A;0-50;0;NA;NA;1;F;
27/08/2009;3;1;A;0-50;0;NA;NA;1;F;
27/08/2009;3;1;A;0-50;0;NA;NA;1;F;
27/08/2009;3;1;A;0-50;0;NA;NA;1;F;
27/08/2009;3;1;A;0-50;0;NA;NA;1;F;
27/08/2009;3;1;A;0-50;0;NA;NA;1;F;
27/08/2009;3;1;A;0-50;0;NA;NA;1;F;
27/08/2009;3;1;A;0-50;0;NA;NA;1;F;
27/08/2009;3;1;A;0-50;0;NA;NA;1;F;
27/08/2009;3;1;A;0-50;0;NA;NA;1;F;
27/08/2009;3;1;A;0-50;0;NA;NA;1;F;
27/08/2009;3;1;A;0-50;0;NA;NA;1;F;
27/08/2009;3;1;A;0-50;0;NA;NA;0;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;1;F;
28/08/2009;4;1;A;0-50;0;NA;NA;0;F;
28/08/2009;4;1;A;0-50;0;NA;NA;0;F;
28/08/2009;4;1;A;0-50;0;NA;NA;0;F;
28/08/2009;4;1;A;0-50;0;NA;NA;0;F;
28/08/2009;4;1;A;0-50;0;NA;NA;0;F;
29/08/2009;5;1;A;0-50;0;NA;NA;1;F;
29/08/2009;5;1;A;0-50;0;NA;NA;1;F;
29/08/2009;5;1;A;0-50;0;NA;NA;1;F;
29/08/2009;5;1;A;0-50;0;NA;NA;1;F;
29/08/2009;5;1;A;0-50;0;NA;NA;1;F;
29/08/2009;5;1;A;0-50;0;NA;NA;1;F;
29/08/2009;5;1;A;0-50;0;NA;NA;1;F;
29/08/2009;5;1;A;0-50;0;NA;NA;1;F;
29/08/2009;5;1;A;0-50;0;NA;NA;1;F;
29/08/2009;5;1;A;0-50;0;NA;NA;1;F;
29/08/2009;5;1;A;0-50;0;NA;NA;1;F;
29/08/2009;5;1;A;0-50;0;NA;NA;1;F;
29/08/2009;5;1;A;0-50;0;NA;NA;1;F;
29/08/2009;5;1;A;0-50;0;NA;NA;0;F;
29/08/2009;5;1;A;0-50;0;NA;NA;0;F;
30/08/2009;6;1;A;0-50;0;NA;NA;1;F;
30/08/2009;6;1;A;0-50;0;NA;NA;1;F;
30/08/2009;6;1;A;0-50;0;NA;NA;1;F;
30/08/2009;6;1;A;0-50;0;NA;NA;1;F;
30/08/2009;6;1;A;0-50;0;NA;NA;1;F;
30/08/2009;6;1;A;0-50;0;NA;NA;0;F;
30/08/2009;6;1;A;0-50;0;NA;NA;0;F;
04/09/2009;07-nov;1;A;0-50;0;NA;NA;1;F;
04/09/2009;07-nov;1;A;0-50;0;NA;NA;0;F;
04/09/2009;07-nov;1;A;0-50;0;NA;NA;0;F;
04/09/2009;07-nov;1;A;0-50;0;NA;NA;0;F;
04/09/2009;07-nov;1;A;0-50;0;NA;NA;0;F;
04/09/2009;07-nov;1;A;0-50;0;NA;NA;0;F;
04/09/2009;07-nov;1;A;0-50;0;NA;NA;0;F;
04/09/2009;07-nov;1;A;0-50;0;NA;NA;0;F;
04/09/2009;07-nov;1;A;0-50;0;NA;NA;0;F;
04/09/2009;07-nov;1;A;0-50;0;NA;NA;0;F;
04/09/2009;07-nov;1;A;0-50;0;NA;NA;0;F;
04/09/2009;07-nov;1;A;0-50;0;NA;NA;0;F;
04/09/2009;07-nov;1;A;0-50;0;NA;NA;0;F;
